1.1.2018,,
National ID,BIC Code,Financial Institution Name
100,NDEAFIHH,NORDEA BANK FINLAND PLC
101,NDEAFIHH,NORDEA BANK FINLAND PLC
102,NDEAFIHH,NORDEA BANK FINLAND PLC
103,NDEAFIHH,NORDEA BANK FINLAND PLC
104,NDEAFIHH,NORDEA BANK FINLAND PLC
105,NDEAFIHH,NORDEA BANK FINLAND PLC
106,NDEAFIHH,NORDEA BANK FINLAND PLC
107,NDEAFIHH,NORDEA BANK FINLAND PLC
108,NDEAFIHH,NORDEA BANK FINLAND PLC
109,NDEAFIHH,NORDEA BANK FINLAND PLC
110,NDEAFIHH,NORDEA BANK FINLAND PLC
111,NDEAFIHH,NORDEA BANK FINLAND PLC
112,NDEAFIHH,NORDEA BANK FINLAND PLC
113,NDEAFIHH,NORDEA BANK FINLAND PLC
114,NDEAFIHH,NORDEA BANK FINLAND PLC
115,NDEAFIHH,NORDEA BANK FINLAND PLC
116,NDEAFIHH,NORDEA BANK FINLAND PLC
117,NDEAFIHH,NORDEA BANK FINLAND PLC
118,NDEAFIHH,NORDEA BANK FINLAND PLC
119,NDEAFIHH,NORDEA BANK FINLAND PLC
120,NDEAFIHH,NORDEA BANK FINLAND PLC
121,NDEAFIHH,NORDEA BANK FINLAND PLC
122,NDEAFIHH,NORDEA BANK FINLAND PLC
123,NDEAFIHH,NORDEA BANK FINLAND PLC
124,NDEAFIHH,NORDEA BANK FINLAND PLC
125,NDEAFIHH,NORDEA BANK FINLAND PLC
126,NDEAFIHH,NORDEA BANK FINLAND PLC
127,NDEAFIHH,NORDEA BANK FINLAND PLC
128,NDEAFIHH,NORDEA BANK FINLAND PLC
129,NDEAFIHH,NORDEA BANK FINLAND PLC
130,NDEAFIHH,NORDEA BANK FINLAND PLC
131,NDEAFIHH,NORDEA BANK FINLAND PLC
132,NDEAFIHH,NORDEA BANK FINLAND PLC
133,NDEAFIHH,NORDEA BANK FINLAND PLC
134,NDEAFIHH,NORDEA BANK FINLAND PLC
135,NDEAFIHH,NORDEA BANK FINLAND PLC
136,NDEAFIHH,NORDEA BANK FINLAND PLC
137,NDEAFIHH,NORDEA BANK FINLAND PLC
138,NDEAFIHH,NORDEA BANK FINLAND PLC
139,NDEAFIHH,NORDEA BANK FINLAND PLC
140,NDEAFIHH,NORDEA BANK FINLAND PLC
141,NDEAFIHH,NORDEA BANK FINLAND PLC
142,NDEAFIHH,NORDEA BANK FINLAND PLC
143,NDEAFIHH,NORDEA BANK FINLAND PLC
144,NDEAFIHH,NORDEA BANK FINLAND PLC
145,NDEAFIHH,NORDEA BANK FINLAND PLC
146,NDEAFIHH,NORDEA BANK FINLAND PLC
147,NDEAFIHH,NORDEA BANK FINLAND PLC
148,NDEAFIHH,NORDEA BANK FINLAND PLC
149,NDEAFIHH,NORDEA BANK FINLAND PLC
150,NDEAFIHH,NORDEA BANK FINLAND PLC
151,NDEAFIHH,NORDEA BANK FINLAND PLC
152,NDEAFIHH,NORDEA BANK FINLAND PLC
153,NDEAFIHH,NORDEA BANK FINLAND PLC
154,NDEAFIHH,NORDEA BANK FINLAND PLC
155,NDEAFIHH,NORDEA BANK FINLAND PLC
156,NDEAFIHH,NORDEA BANK FINLAND PLC
157,NDEAFIHH,NORDEA BANK FINLAND PLC
158,NDEAFIHH,NORDEA BANK FINLAND PLC
159,NDEAFIHH,NORDEA BANK FINLAND PLC
160,NDEAFIHH,NORDEA BANK FINLAND PLC
161,NDEAFIHH,NORDEA BANK FINLAND PLC
162,NDEAFIHH,NORDEA BANK FINLAND PLC
163,NDEAFIHH,NORDEA BANK FINLAND PLC
164,NDEAFIHH,NORDEA BANK FINLAND PLC
165,NDEAFIHH,NORDEA BANK FINLAND PLC
166,NDEAFIHH,NORDEA BANK FINLAND PLC
167,NDEAFIHH,NORDEA BANK FINLAND PLC
168,NDEAFIHH,NORDEA BANK FINLAND PLC
169,NDEAFIHH,NORDEA BANK FINLAND PLC
170,NDEAFIHH,NORDEA BANK FINLAND PLC
171,NDEAFIHH,NORDEA BANK FINLAND PLC
172,NDEAFIHH,NORDEA BANK FINLAND PLC
173,NDEAFIHH,NORDEA BANK FINLAND PLC
174,NDEAFIHH,NORDEA BANK FINLAND PLC
175,NDEAFIHH,NORDEA BANK FINLAND PLC
176,NDEAFIHH,NORDEA BANK FINLAND PLC
177,NDEAFIHH,NORDEA BANK FINLAND PLC
178,NDEAFIHH,NORDEA BANK FINLAND PLC
179,NDEAFIHH,NORDEA BANK FINLAND PLC
180,NDEAFIHH,NORDEA BANK FINLAND PLC
181,NDEAFIHH,NORDEA BANK FINLAND PLC
182,NDEAFIHH,NORDEA BANK FINLAND PLC
183,NDEAFIHH,NORDEA BANK FINLAND PLC
184,NDEAFIHH,NORDEA BANK FINLAND PLC
185,NDEAFIHH,NORDEA BANK FINLAND PLC
186,NDEAFIHH,NORDEA BANK FINLAND PLC
187,NDEAFIHH,NORDEA BANK FINLAND PLC
188,NDEAFIHH,NORDEA BANK FINLAND PLC
189,NDEAFIHH,NORDEA BANK FINLAND PLC
190,NDEAFIHH,NORDEA BANK FINLAND PLC
191,NDEAFIHH,NORDEA BANK FINLAND PLC
192,NDEAFIHH,NORDEA BANK FINLAND PLC
193,NDEAFIHH,NORDEA BANK FINLAND PLC
194,NDEAFIHH,NORDEA BANK FINLAND PLC
195,NDEAFIHH,NORDEA BANK FINLAND PLC
196,NDEAFIHH,NORDEA BANK FINLAND PLC
197,NDEAFIHH,NORDEA BANK FINLAND PLC
198,NDEAFIHH,NORDEA BANK FINLAND PLC
199,NDEAFIHH,NORDEA BANK FINLAND PLC
200,NDEAFIHH,NORDEA BANK FINLAND PLC
201,NDEAFIHH,NORDEA BANK FINLAND PLC
202,NDEAFIHH,NORDEA BANK FINLAND PLC
203,NDEAFIHH,NORDEA BANK FINLAND PLC
204,NDEAFIHH,NORDEA BANK FINLAND PLC
205,NDEAFIHH,NORDEA BANK FINLAND PLC
206,NDEAFIHH,NORDEA BANK FINLAND PLC
207,NDEAFIHH,NORDEA BANK FINLAND PLC
208,NDEAFIHH,NORDEA BANK FINLAND PLC
209,NDEAFIHH,NORDEA BANK FINLAND PLC
210,NDEAFIHH,NORDEA BANK FINLAND PLC
211,NDEAFIHH,NORDEA BANK FINLAND PLC
212,NDEAFIHH,NORDEA BANK FINLAND PLC
213,NDEAFIHH,NORDEA BANK FINLAND PLC
214,NDEAFIHH,NORDEA BANK FINLAND PLC
215,NDEAFIHH,NORDEA BANK FINLAND PLC
216,NDEAFIHH,NORDEA BANK FINLAND PLC
217,NDEAFIHH,NORDEA BANK FINLAND PLC
218,NDEAFIHH,NORDEA BANK FINLAND PLC
219,NDEAFIHH,NORDEA BANK FINLAND PLC
220,NDEAFIHH,NORDEA BANK FINLAND PLC
221,NDEAFIHH,NORDEA BANK FINLAND PLC
222,NDEAFIHH,NORDEA BANK FINLAND PLC
223,NDEAFIHH,NORDEA BANK FINLAND PLC
224,NDEAFIHH,NORDEA BANK FINLAND PLC
225,NDEAFIHH,NORDEA BANK FINLAND PLC
226,NDEAFIHH,NORDEA BANK FINLAND PLC
227,NDEAFIHH,NORDEA BANK FINLAND PLC
228,NDEAFIHH,NORDEA BANK FINLAND PLC
229,NDEAFIHH,NORDEA BANK FINLAND PLC
230,NDEAFIHH,NORDEA BANK FINLAND PLC
231,NDEAFIHH,NORDEA BANK FINLAND PLC
232,NDEAFIHH,NORDEA BANK FINLAND PLC
233,NDEAFIHH,NORDEA BANK FINLAND PLC
234,NDEAFIHH,NORDEA BANK FINLAND PLC
235,NDEAFIHH,NORDEA BANK FINLAND PLC
236,NDEAFIHH,NORDEA BANK FINLAND PLC
237,NDEAFIHH,NORDEA BANK FINLAND PLC
238,NDEAFIHH,NORDEA BANK FINLAND PLC
239,NDEAFIHH,NORDEA BANK FINLAND PLC
240,NDEAFIHH,NORDEA BANK FINLAND PLC
241,NDEAFIHH,NORDEA BANK FINLAND PLC
242,NDEAFIHH,NORDEA BANK FINLAND PLC
243,NDEAFIHH,NORDEA BANK FINLAND PLC
244,NDEAFIHH,NORDEA BANK FINLAND PLC
245,NDEAFIHH,NORDEA BANK FINLAND PLC
246,NDEAFIHH,NORDEA BANK FINLAND PLC
247,NDEAFIHH,NORDEA BANK FINLAND PLC
248,NDEAFIHH,NORDEA BANK FINLAND PLC
249,NDEAFIHH,NORDEA BANK FINLAND PLC
250,NDEAFIHH,NORDEA BANK FINLAND PLC
251,NDEAFIHH,NORDEA BANK FINLAND PLC
252,NDEAFIHH,NORDEA BANK FINLAND PLC
253,NDEAFIHH,NORDEA BANK FINLAND PLC
254,NDEAFIHH,NORDEA BANK FINLAND PLC
255,NDEAFIHH,NORDEA BANK FINLAND PLC
256,NDEAFIHH,NORDEA BANK FINLAND PLC
257,NDEAFIHH,NORDEA BANK FINLAND PLC
258,NDEAFIHH,NORDEA BANK FINLAND PLC
259,NDEAFIHH,NORDEA BANK FINLAND PLC
260,NDEAFIHH,NORDEA BANK FINLAND PLC
261,NDEAFIHH,NORDEA BANK FINLAND PLC
262,NDEAFIHH,NORDEA BANK FINLAND PLC
263,NDEAFIHH,NORDEA BANK FINLAND PLC
264,NDEAFIHH,NORDEA BANK FINLAND PLC
265,NDEAFIHH,NORDEA BANK FINLAND PLC
266,NDEAFIHH,NORDEA BANK FINLAND PLC
267,NDEAFIHH,NORDEA BANK FINLAND PLC
268,NDEAFIHH,NORDEA BANK FINLAND PLC
269,NDEAFIHH,NORDEA BANK FINLAND PLC
270,NDEAFIHH,NORDEA BANK FINLAND PLC
271,NDEAFIHH,NORDEA BANK FINLAND PLC
272,NDEAFIHH,NORDEA BANK FINLAND PLC
273,NDEAFIHH,NORDEA BANK FINLAND PLC
274,NDEAFIHH,NORDEA BANK FINLAND PLC
275,NDEAFIHH,NORDEA BANK FINLAND PLC
276,NDEAFIHH,NORDEA BANK FINLAND PLC
277,NDEAFIHH,NORDEA BANK FINLAND PLC
278,NDEAFIHH,NORDEA BANK FINLAND PLC
279,NDEAFIHH,NORDEA BANK FINLAND PLC
280,NDEAFIHH,NORDEA BANK FINLAND PLC
281,NDEAFIHH,NORDEA BANK FINLAND PLC
282,NDEAFIHH,NORDEA BANK FINLAND PLC
283,NDEAFIHH,NORDEA BANK FINLAND PLC
284,NDEAFIHH,NORDEA BANK FINLAND PLC
285,NDEAFIHH,NORDEA BANK FINLAND PLC
286,NDEAFIHH,NORDEA BANK FINLAND PLC
287,NDEAFIHH,NORDEA BANK FINLAND PLC
288,NDEAFIHH,NORDEA BANK FINLAND PLC
289,NDEAFIHH,NORDEA BANK FINLAND PLC
