Svea Bank,9660-9669,7
Avanza Bank,9550-9569,7
Bluestep Finans AB,9680-9689,7
"BNP Paribas Fortis SA/NV, Bankfilial Sverige",9470–9479,7
,,
"Citibank International Plc, Sweden Branch",9040-9049,7
"Danske Bank
(inkl. tidigare Provinsbanker)","1200-1399
2400-2499
9180-9189",7
Danske Bolån,1305,7
"DNB Bank ASA, filial Sverige",9190-9199,7
Erik Penser Bankaktiebolag,9590-9599,7
Forex Bank AB,9400-9449,7
Santander Consumer Bank AS (deltar endast i Dataclearingen),9460-9469,7
Handelsbanken,6000-6999,9
ICA Banken AB,9270-9279,7
IKANO Banken AB,9170-9179,7
Landshypotek AB,9390-9399,7
Länsförsäkringar Bank Aktiebolag,"9020-9029 
3400-3409 
9060-9069",7
MedMera Bank AB,9650-9659,7
Nordax Bank AB (deltar endast i Dataclearingen),9640-9649,7
"Nordea AB




(fd Postbanken)

(fd Postgirot Bank)","1100-1199 
1449-1999 
3000-3399 
3410-3999 
4000-4999
1401-1448
2000-2099
9500-9549 
9960-9969","7




7

10"
"Nordea AB Personkonto 
Kontonummer = personnummer",3300/3782,10
Nordnet Bank,9100-9109,7
Resurs Bank AB,9280-9289,7
Riksgälden,9880-9889,7
Royal Bank of Scotland,9090-9099,7
SalusAnsvar Bankaktiebolag Stockholm,9230-9239,7
SBAB (deltar endast i Dataclearingen),9250-9259,7
SEB,"5000-5999 
9120-9124 
9130-9149",7
Skandiabanken AB,9150-9169,7
Sparbanken Syd,9570-9579,10
"Swedbank

När du gör överföringar eller skickar lön till Swedbanks konton, som börjar på 7, kan du välja mellan att skriva in hela kontonumret (elva siffror) eller att skriva in 
tre nollor mellan clearingnummer (de första 
fyra siffrorna) och kontonummer.",7000-7999,7
"Swedbank och fristående Sparbanker, t ex Leksands Sparbank och Roslagsbanken.

Det förekommer att Swedbank har en femte siffra i clearingnummer som börjar på 8, t ex 8327-9. Den femte siffran ska inte registreras.",8000-8999,10
"Ålandsbanken Abp (Finland),svensk filial",2300-2399,7
